address,price,bed,bath,parking,property_type,internal_area,land_area,link
Sydney NSW 2000,Expressions of Interest,4,5,2,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/sydney-nsw-2000-2014253864
"Macquarie Aparments, Residence 10, 155 Macqurie Street, Sydney NSW 2000",Price on Application,3,3,2,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/macquarie-aparments-residence-10-155-macqurie-street-sydney-nsw-2000-2014246516
"8/155 Macquarie Street, Sydney NSW 2000",Auction,3,2,2,Apartment / Unit / Flat,Unknown,214m²,https://www.domain.com.au/8-155-macquarie-street-sydney-nsw-2000-2014251707
"503/27 Barangaroo Avenue, Sydney NSW 2000",Contact Agent,2,2,1,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/503-27-barangaroo-avenue-sydney-nsw-2000-2014253288
"4409/101 Bathurst Street, Sydney NSW 2000","$3,000,000",3,2,2,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/4409-101-bathurst-street-sydney-nsw-2000-2014242335
"1002/23 Shelley Street, Sydney NSW 2000",Auction,2,2,1,Apartment / Unit / Flat,Unknown,105m²,https://www.domain.com.au/1002-23-shelley-street-sydney-nsw-2000-2014246016
"1103/161 Clarence  Street, Sydney NSW 2000","$1,180,000",1,1,−,Apartment / Unit / Flat,Unknown,49m²,https://www.domain.com.au/1103-161-clarence-street-sydney-nsw-2000-2014246259
"74/25 Market Street, Sydney NSW 2000",Auction,1,1,1,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/74-25-market-street-sydney-nsw-2000-2014239748
"1301/96-100 Gloucester Street, Sydney NSW 2000",Contact Agent,1,1,−,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/1301-96-100-gloucester-street-sydney-nsw-2000-2014245636
"1706/28 Harbour Street, Sydney NSW 2000","For Sale: $680,000 - $720,000",1,1,−,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/1706-28-harbour-street-sydney-nsw-2000-2014250937
"Penthouse 1 Four Seasons 199 George Street, Sydney NSW 2000",Expressions of Interest,2,3,2,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/penthouse-1-four-seasons-199-george-street-sydney-nsw-2000-2014198949
"155 Macquarie Street, Sydney NSW 2000",POA,3,2,2,Apartment / Unit / Flat,219m²,Unknown,https://www.domain.com.au/155-macquarie-street-sydney-nsw-2000-2014224287
"3505/68-70 Market Street, Sydney NSW 2000","For Sale, Price guide on request",2,2,2,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/3505-68-70-market-street-sydney-nsw-2000-2014225423
"1506/183 Kent Street, Sydney NSW 2000","$2,650,000",3,2,2,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/1506-183-kent-street-sydney-nsw-2000-2014191143
"101 Bathurst Street, Sydney NSW 2000","2,200,000.00",2,2,1,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/101-bathurst-street-sydney-nsw-2000-2014231575
"3167 Darling One, Darling Square, Darling Harbour, Sydney NSW 2000","For Sale $2,200,000",2,2,1,Apartment / Unit / Flat,96m²,114m²,https://www.domain.com.au/3167-darling-one-darling-square-darling-harbour-sydney-nsw-2000-2013570616
"1504/101 Bathurst Street, Sydney NSW 2000","$1,980,000",2,2,1,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/1504-101-bathurst-street-sydney-nsw-2000-2014213387
"603/29 Market Street, Melbourne VIC 3000",Auction,1,1,−,Apartment / Unit / Flat,44m²,Unknown,https://www.domain.com.au/603-29-market-street-melbourne-vic-3000-2014243964
"1305/582 St Kilda Road, Melbourne VIC 3000",Contact Agent,3,2,1,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/1305-582-st-kilda-road-melbourne-vic-3000-2014195602
"4312/22-24 Jane Bell Lane, Melbourne VIC 3000","$488,000",1,1,1,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/4312-22-24-jane-bell-lane-melbourne-vic-3000-2014223366
"10/130 Flinders Street, Melbourne VIC 3000",Private Auction Tuesday 27 March,4,2,2,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/10-130-flinders-street-melbourne-vic-3000-2014209461
"31/30 La Trobe St, Melbourne VIC 3000",Auction,2,2,1,Apartment / Unit / Flat,109m²,Unknown,https://www.domain.com.au/31-30-la-trobe-st-melbourne-vic-3000-2014210778
"3106/80 A'Beckett Street, Melbourne VIC 3000",Contact Agent,2,1,−,Apartment / Unit / Flat,60m²,Unknown,https://www.domain.com.au/3106-80-a-beckett-street-melbourne-vic-3000-2014215809
"35/24 Little Bourke St, Melbourne VIC 3000","$470,000 to $490,000",2,1,−,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/35-24-little-bourke-st-melbourne-vic-3000-2014179901
"2608/9-23 Mackenzie Street, Melbourne VIC 3000","$900,000",2,2,−,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/2608-9-23-mackenzie-street-melbourne-vic-3000-2014167582
"2803/155 Franklin  Street, Melbourne VIC 3000",Contact Agent,2,2,−,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/2803-155-franklin-street-melbourne-vic-3000-2014240887
"207/535 Flinders Lane, Melbourne VIC 3000",Contact Agent,1,1,−,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/207-535-flinders-lane-melbourne-vic-3000-2014194779
"4111/220 Spencer  Street, Melbourne VIC 3000",Contact agent,2,2,1,Apartment / Unit / Flat,Unknown,66m²,https://www.domain.com.au/4111-220-spencer-street-melbourne-vic-3000-2014201924
"206/539 St Kilda Road, Melbourne VIC 3000","$595,000",2,2,2,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/206-539-st-kilda-road-melbourne-vic-3000-2014192970
"305/108 Flinders Street, Melbourne VIC 3000","$475,000 - $520,000",1,1,−,Apartment / Unit / Flat,Unknown,Unknown,https://www.domain.com.au/305-108-flinders-street-melbourne-vic-3000-2014243664
